PROJETO_ID,RECURSO_DESCRICAO,RECURSO_TIPO,RECURSO_QUANT,DATA_UTILIZACAO
1,Papel A4,Material,500,2024-03-15
1,Impressora,Material,2,2024-04-01
1,Verba para Treinamento,Financeiro,15000,2024-05-20
1,Equipe de Design,Humano,4,2024-06-05
2,Equipe de Desenvolvimento,Humano,10,2024-07-12
2,Orçamento Adicional,Financeiro,20000,2024-08-23
2,Projetores,Material,10,2024-09-30
2,Consultor de TI,Humano,2,2024-10-18
3,Verba para Marketing,Financeiro,30000,2024-11-25
3,Equipe de Vendas,Humano,8,2024-12-10
3,Equipamentos de Segurança,Material,25,2024-01-15
3,Fundo de Contingência,Financeiro,25000,2024-02-22
4,Canetas,Material,300,2024-03-05
4,Fundo de Contingência,Financeiro,30000,2024-04-17
4,Equipe de Testes,Humano,6,2024-05-28
4,Computadores,Material,15,2024-06-11
5,Consultor Externo,Humano,1,2024-07-12
5,Mesas e Cadeiras,Material,50,2024-08-23
5,Verba para Pesquisa,Financeiro,45000,2024-09-30
5,Analista de Dados,Humano,3,2024-10-18
6,Financiamento de Pesquisa,Financeiro,50000,2024-11-25
6,Analista de Dados,Humano,3,2024-12-10
6,Equipamento de Laboratório,Material,10,2024-01-15
6,Bolsa de Pesquisa,Financeiro,15000,2024-02-22
7,Laptop,Material,20,2024-03-05
7,Verba para Projetos,Financeiro,40000,2024-04-17
7,Equipe de Desenvolvimento,Humano,5,2024-05-28
7,Impressora 3D,Material,1,2024-06-11
8,Equipe de Suporte,Humano,5,2024-07-12
8,Recursos de Escritório,Material,200,2024-08-23
8,Orçamento de Manutenção,Financeiro,35000,2024-09-30
8,Técnico de Suporte,Humano,2,2024-10-18
